TieuDe,NoiDung,Nhan
Sản phẩm bị lỗi,"Tôi nhận sản phẩm nhưng bị hỏng, không thể sử dụng.",Khiếu nại
Sai đơn hàng,"Tôi đặt áo size M nhưng nhận size L, vui lòng kiểm tra.",Khiếu nại
Thiếu phụ kiện,"Hộp hàng thiếu pin và dây sạc, xin kiểm tra lại.",Khiếu nại
Hàng giao muộn,"Đơn hàng 456 đã quá hạn 5 ngày nhưng chưa nhận được.",Khiếu nại
Hàng vỡ,"Sản phẩm bị vỡ khi giao đến, tôi muốn đổi mới.",Khiếu nại
Nhận sai màu,"Tôi đặt áo xanh nhưng nhận áo đỏ, cần giải quyết.",Khiếu nại
Sai số lượng,"Tôi đặt 2 sản phẩm nhưng chỉ nhận 1, vui lòng bổ sung.",Khiếu nại
Hàng thiếu size,"Váy size M không có trong đơn hàng, cần hỗ trợ.",Khiếu nại
Giao nhầm địa chỉ,"Sản phẩm giao đến nhầm địa chỉ, xin hướng dẫn lấy lại.",Khiếu nại
Chậm hoàn tiền,"Tôi đã trả hàng nhưng tiền chưa được hoàn.",Khiếu nại
Đơn bị hủy,"Đơn hàng 789 bị hủy mà tôi không yêu cầu, giải thích.",Khiếu nại
Hàng không đúng mô tả,"Sản phẩm khác hình quảng cáo, yêu cầu giải quyết.",Khiếu nại
Hàng bị trầy xước,"Túi xách bị trầy xước khi giao, cần đổi mới.",Khiếu nại
Đặt nhiều lần bị trùng,"Tôi bị trừ tiền 2 lần cho đơn hàng 234.",Khiếu nại
Giao thiếu món,"Đơn 345 thiếu 1 món, vui lòng bổ sung.",Khiếu nại
Nhận hàng sai số lượng,"Tôi nhận ít hơn số lượng đặt, xin kiểm tra.",Khiếu nại
Hàng lỗi kỹ thuật,"Đồng hồ không hoạt động, cần đổi mới.",Khiếu nại
Sản phẩm hỏng,"Bình nước bị rò rỉ khi giao đến.",Khiếu nại
Hàng giao chậm,"Tôi đặt đơn 567 mà đến nay vẫn chưa nhận được.",Khiếu nại
Nhận nhầm sản phẩm,"Nhận áo size S thay vì M, vui lòng hỗ trợ đổi.",Khiếu nại
Hàng bị mất,"Đơn hàng 678 chưa nhận được, không thấy vận chuyển.",Khiếu nại
Nhận hàng cũ,"Sản phẩm bị trầy xước và cũ, yêu cầu đổi mới.",Khiếu nại
Sai thông tin,"Nhãn sản phẩm in sai tên, cần sửa lại.",Khiếu nại
Không nhận được đơn,"Tôi đặt hàng nhưng hệ thống báo lỗi, chưa nhận.",Khiếu nại
Hàng không vừa,"Áo khoác size L quá chật, muốn đổi size.",Khiếu nại
Sản phẩm bị mờ,"Áo in chữ mờ, không giống mẫu quảng cáo.",Khiếu nại
Sai hóa đơn,"Hóa đơn đơn 890 bị sai, cần chỉnh sửa.",Khiếu nại
Hàng bị rách,"Túi xách rách khi nhận hàng, yêu cầu đổi mới.",Khiếu nại
Hàng giao nhầm,"Nhận váy khác màu so với đơn đặt.",Khiếu nại
Sản phẩm lỗi,"Giày không thể đi được vì hỏng đế.",Khiếu nại
Thiếu phụ kiện,"Hộp đồ chơi thiếu 1 món, cần bổ sung.",Khiếu nại
Hàng bị vỡ,"Ly thủy tinh vỡ khi nhận hàng.",Khiếu nại
Đơn hàng bị hủy,"Tôi không yêu cầu hủy nhưng đơn 901 đã bị hủy.",Khiếu nại
Giao nhầm sản phẩm,"Nhận nhầm quần thay vì áo.",Khiếu nại
